"V1","V2","V3"
8,12,56.5
8,13,59.6
8,14,59.2
8,15,43.8
8,16,12.6
8,17,22.1
8,18,9.8
8,19,29.6
8,20,14.3
8,21,24.6
8,22,24.4
8,23,39.2
8,24,38.3
9,1,25
9,2,31.1
9,3,21
9,4,16.2
9,5,13.6
9,6,23.6
9,7,28.1
9,8,20.4
9,9,1.05
9,10,6.5
9,11,21.5
9,12,35.6
9,13,38.7
9,14,38.3
9,15,22.9
9,16,31.4
9,17,25.6
9,18,30.2
9,19,27.3
9,20,34.7
9,21,38
9,22,32.7
9,23,47.5
9,24,52.4
10,1,34.2
10,2,38
10,3,30.2
10,4,25.4
10,5,20.5
10,6,30.5
10,7,30.3
10,8,27.3
10,9,6.9
10,10,1.05
10,11,15
10,12,29.1
10,13,32.2
10,14,31.8
10,15,16.4
10,16,24.9
10,17,19.1
10,18,28.2
10,19,20.8
10,20,32.3
10,21,31.5
10,22,26.2
10,23,41
10,24,45.9
11,1,19.2
11,2,25.2
11,3,15.2
11,4,10.4
11,5,13
11,6,23
11,7,45.1
11,8,42.1
11,9,21.7
11,10,14.8
11,11,1.05
11,12,14.1
11,13,17.2
11,14,17.4
11,15,31.2
11,16,39.7
11,17,33.9
11,18,43
11,19,35.6
11,20,47.1
11,21,43.5
11,22,41
11,23,26.7
11,24,30.9
12,1,8.1
12,2,14.1
12,3,4.1
12,4,8.9
12,5,11.5
12,6,21.5
12,7,60.8
12,8,57.8
12,9,37.4
12,10,30.5
12,11,15.7
12,12,1.05
12,13,3.1
12,14,33.1
12,15,46.9
12,16,55.4
12,17,49.6
12,18,58.7
12,19,51.3
12,20,48.2
12,21,37.6
12,22,42.3
12,23,29.4
12,24,25
13,1,11.2
13,2,17.2
13,3,7.2
13,4,12
13,5,14.6
13,6,24.6
13,7,51.7
13,8,60.9
13,9,40.5
13,10,33.6
13,11,18.8
13,12,3.1
13,13,1.05
13,14,35.6
13,15,49
13,16,58.5
13,17,52.7
13,18,49.6
13,19,56.6
13,20,45.1
13,21,34.5
13,22,39.2
13,23,26.3
13,24,21.9
14,1,35.6
14,2,41.6
14,3,31.6
14,4,26.8
14,5,29.4
14,6,39.4
14,7,38.8
14,8,58.5
14,9,38.1
14,10,31.2
14,11,16.4
14,12,30.5
14,13,33.6
14,14,1.05
14,15,16.3
14,16,56.1
14,17,28.2
14,18,36.7
14,19,20.7
14,20,32.2
14,21,26.1
14,22,25
14,23,9.3
14,24,13.5
15,1,50.9
15,2,54.7
15,3,46.9
15,4,42.1
15,5,37.2
15,6,47.2
15,7,22.5
15,8,44
15,9,23.6
15,10,16.7
15,11,31.7
15,12,45.8
15,13,48.9
15,14,15.4
15,15,1.05
15,16,41.6
15,17,11.9
15,18,20.4
15,19,4.4
15,20,15.9
15,21,15.1
15,22,9.8
15,23,24.6
15,24,28.8
16,1,43.9
16,2,37.9
16,3,55.1
16,4,50.3
16,5,41
16,6,30.4
16,7,5.4
16,8,12.6
16,9,31.8
16,10,24.9
16,11,39.9
16,12,54
16,13,57.1
16,14,56.7
16,15,41.3
16,16,1.05
16,17,9.5
16,18,3.3
16,19,17
16,20,7.8
16,21,18.1
16,22,17.9
16,23,32.7
16,24,31.8
17,1,53.3
17,2,47.7
17,3,49.3
17,4,44.5
17,5,39.6
17,6,40.2
17,7,15.2
17,8,22.4
17,9,26
17,10,19.1
17,11,34.1
17,12,48.2
17,13,51.3
17,14,27.4
17,15,12
17,16,9.8
17,17,1.05
17,18,13.1
17,19,7.5
17,20,19
17,21,29.3
17,22,21.8
17,23,36.6
17,24,43
18,1,41.1
18,2,35.1
18,3,58.4
18,4,53.6
18,5,38.2
18,6,27.6
18,7,2.1
18,8,9.8
18,9,30.7
18,10,28.2
18,11,43.2
18,12,57.3
18,13,51
18,14,35.9
18,15,20.5
18,16,3.3
18,17,12.8
18,18,1.05
18,19,16
18,20,4.5
18,21,14.8
18,22,14.6
18,23,29.4
18,24,28.5
19,1,55.4
19,2,55.2
19,3,51.4
19,4,46.6
19,5,41.7
19,6,47.7
19,7,18.1
19,8,29.9
19,9,28.1
19,10,21.2
19,11,36.2
19,12,50.3
19,13,58
19,14,19.9
19,15,4.5
19,16,17.3
19,17,7.5
19,18,16
19,19,1.05
19,20,11.5
19,21,21.8
19,22,14.3
19,23,29.1
19,24,35.5
20,1,45.6
20,2,39.6
20,3,53.7
20,4,58.1
20,5,42.7
20,6,32.1
20,7,6.6
20,8,14.3
20,9,35.2
20,10,32.7
20,11,47.7
20,12,49.6
20,13,46.5
20,14,31.4
20,15,16
20,16,7.8
20,17,19
20,18,4.5
20,19,11.5
20,20,1.05
20,21,10.3
20,22,10.1
20,23,24.9
20,24,24
21,1,47.4
21,2,50.2
21,3,43.4
21,4,48.2
21,5,51.7
21,6,42.7
21,7,17.2
21,8,24.9
21,9,38.1
21,10,31.2
21,11,43.8
21,12,39.3
21,13,36.2
21,14,27.4
21,15,14.5
21,16,18.4
21,17,29.6
21,18,15.1
21,19,22.1
21,20,10.6
21,21,1.05
21,22,4.7
21,23,18.1
21,24,13.7
22,1,59.7
22,2,49.2
22,3,48.7
22,4,50.9
22,5,47
22,6,41.7
22,7,16.2
22,8,23.9
22,9,33.4
22,10,26.5
22,11,40.5
22,12,44.6
22,13,41.5
22,14,24.1
22,15,9.8
22,16,17.4
22,17,21.7
22,18,14.1
22,19,14.2
22,20,9.6
22,21,5.3
22,22,1.05
22,23,14.8
22,24,19
23,1,37.9
23,2,43.9
23,3,33.9
23,4,36.1
23,5,38.7
23,6,48.7
23,7,31.9
23,8,39.6
23,9,47.4
23,10,40.5
23,11,25.7
23,12,29.8
23,13,26.7
23,14,9.3
23,15,25.5
23,16,33.1
23,17,37.4
23,18,29.8
23,19,29.9
23,20,25.3
23,21,16.8
23,22,15.7
23,23,1.05
23,24,4.2
24,1,33.7
24,2,39.7
24,3,29.7
24,4,34.5
24,5,37.1
24,6,47.1
24,7,29.8
24,8,37.5
24,9,50.7
24,10,43.8
24,11,30.1
24,12,25.6
24,13,22.5
24,14,13.7
24,15,27.1
24,16,31
24,17,42.2
24,18,27.7
24,19,34.7
24,20,23.2
24,21,12.6
24,22,17.3
24,23,4.4
24,24,1.05
